"list_name","wait_name"
"196 Albany","196 Albany"
"4101 White Plains","4101 White Plains Road"
"Former St John Villa HS","57 Cleveland Place"
"Bathgate Contract Postal Station","Bathgate Contract Post..."
"Bay Ridge 5th Ave","Bay Ridge 5th Avenue"
"Beach 39th","Beach 39th"
"NYC Health + Hospitals/Bellevue","Bellevue Hospital Cent..."
"NYC Health + Hospitals/Gotham Health, Belvis","Belvis Diagnostic & Tr..."
"Bensonhurst 14th Ave","Bensonhurst 14th Avenue"
"Brooklyn Army Terminal","Brooklyn Army Terminal"
"Canarsie Muni Lot","Canarsie Municipal Lot"
"NYC Health + Hospitals/Ida G. Israel Community Health Center","CI Ida G Israel Chc"
"Co-op City Retail Space","Co-op City Retail Space"
"NYC Health + Hospitals/Coney Island","Coney Island Hospital ..."
"NYC Health + Hospitals/Gotham Health, Jonathan Williams Houses","CU Jonathan Williams C..."
"NYC Health + Hospitals/Gotham Health, Vanderbilt","CU Vanderbilt"
"","CU Woodside Houses CHC"
"NYC Health + Hospitals/Gotham Health, Cumberland","Cumberland Dtc"
"Edward Grant","Edward Grant"
"NYC Health + Hospitals/Elmhurst","Elmhurst Hospital Cent..."
"NYC Health + Hospitals/Gotham Health, East New York","EY East New York DTC"
"4002 Fort Hamilton","Fort Hamilton"
"NYC Health + Hospitals/Gotham Health, Gouverneur","Gouverneur Healthcare"
"Greenbelt Recreation Center","Greenbelt Recreational..."
"NYC Health + Hospitals/Harlem","Harlem Hospital Center"
"Highbridge Pool","Highbridge Pool"
"NYC Health + Hospitals/Jacobi","Jacobi Medical Center"
"John F. Kennedy Airport","JFK Airport"
"Kew Gardens Hills Library","Kew Gardens"
"NYC Health + Hospitals/Kings County","Kings County Hospital ..."
"LaGuardia Airport","LaGuardia Airport"
"Queens Public Library at Lefferts","Lefferts"
"NYC Health + Hospitals/Lincoln","Lincoln Medical Center"
"Mariners Harbor Library","Mariners Harbor Library"
"NYC Health + Hospitals/Metropolitan","Metropolitan Hospital ..."
"Midwood Pre-K","Midwood"
"NYC Health + Hospitals/Gotham Health, Morrisania","Morrisania Diagnostic ..."
"Mt. Loretto Sportsplex","Mt. Loretto"
"NYC Health + Hospitals/North Central Bronx","North Central Bronx Ho..."
"51-30 Northern Boulevard","Northern Boulevard"
"Old Broadway","Old Broadway"
"NYC Health + Hospitals/Queens","Queens Hospital Center"
"Rain Boston Road Senior Center","Rain Boston Road Senio..."
"Red Hook Recreation Center","Red Hook Recreational ..."
"Sorrentino Rec Center","Sorrentino Recreationa..."
"The Episcopal Church of St. Alban the Martyr","St. Albans"
"","St. George Ferry Termi..."
"St James Rec Center","St. James Recreational..."
"Starrett City","Starret City"
"","SY Dyckman Lcdla"
"Saint Nicholas Houses","SY St. Nicholas Chc"
"","Sydenham"
"NYC Health + Hospitals/Gotham Health, Sydenham","Sydenham Health Center"
"","Tremont Community Heal..."
"Windsor Park Library","Windsor Park Library"
"NYC Health + Hospitals/Woodhull","Woodhull Medical Center"
